Validating: /home/yoursenpai/polimi/sem3/fucking_SE/RP/RESEARCH_PROJECT/Results/Scenario_011/SP3/RUN_20260228_060352/dsl/ITER2_20260228_060413.LIRAs
FAILURE: Validation errors found.

[ERROR] Line 11: missing RULE_NL at 'fetch'
[ERROR] Line 25: mismatched input 'entry' expecting ':'
[ERROR] Line 25: mismatched input '-' expecting ':'
[ERROR] Line 25: mismatched input 'of' expecting ':'
[ERROR] Line 25: mismatched input 'the' expecting ':'
[ERROR] Line 25: mismatched input 'analysis' expecting ':'
[ERROR] Line 25: mismatched input 'machines' expecting ':'
[ERROR] Line 25: mismatched input '.' expecting ':'
[ERROR] Line 25: mismatched input 'about' expecting ':'
[ERROR] Line 25: mismatched input 'where' expecting ':'
[ERROR] Line 25: mismatched input 'and' expecting ':'
[ERROR] Line 25: mismatched input 'when' expecting ':'
[ERROR] Line 25: mismatched input 'a' expecting ':'
[ERROR] Line 25: mismatched input 'given' expecting ':'
[ERROR] Line 25: mismatched input 'sample' expecting ':'
[ERROR] Line 25: mismatched input 'was' expecting ':'
[ERROR] Line 25: mismatched input 'picked' expecting ':'
[ERROR] Line 25: mismatched input 'should' expecting ':'
[ERROR] Line 25: mismatched input 'be' expecting ':'
[ERROR] Line 25: mismatched input 'logged' expecting ':'
[ERROR] Line 25: mismatched input 'securely' expecting ':'
[ERROR] Line 25: mismatched input '.' expecting ':'
[ERROR] Line 25: mismatched input 'time' expecting ':'
[ERROR] Line 25: mismatched input 'sample' expecting ':'
[ERROR] Line 25: mismatched input 'collection' expecting ':'
[ERROR] Line 25: mismatched input 'and' expecting ':'
[ERROR] Line 25: mismatched input 'laboratory' expecting ':'
[ERROR] Line 25: mismatched input 'delivery' expecting ':'
[ERROR] Line 25: mismatched input 'should' expecting ':'
[ERROR] Line 25: mismatched input 'be' expecting ':'
[ERROR] Line 25: mismatched input 'tracked' expecting ':'
[ERROR] Line 25: mismatched input 'to' expecting ':'
[ERROR] Line 25: mismatched input 'be' expecting ':'
[ERROR] Line 25: mismatched input 'sure' expecting ':'
[ERROR] Line 25: mismatched input 'that' expecting ':'
[ERROR] Line 25: mismatched input 'it' expecting ':'
[ERROR] Line 25: mismatched input 'goes' expecting ':'
[ERROR] Line 25: mismatched input 'according' expecting ':'
[ERROR] Line 25: mismatched input 'to' expecting ':'
[ERROR] Line 25: mismatched input 'laboratory' expecting ':'
[ERROR] Line 25: mismatched input 'protocols' expecting ':'
[ERROR] Line 25: mismatched input '.' expecting ':'
[ERROR] Line 27: extraneous input 'Arm' expecting ':'
[ERROR] Line 29: extraneous input 'checkItems' expecting RULE_NL
[ERROR] Line 31: extraneous input 'checkItems' expecting RULE_NL
[ERROR] Line 33: extraneous input 'checkItems' expecting RULE_NL
[ERROR] Line 35: extraneous input 'checkItems' expecting RULE_NL
[ERROR] Line 36: no viable alternative at input 'presence'
[ERROR] Line 36: mismatched input '(' expecting ':'
[ERROR] Line 36: mismatched input ')' expecting ':'
[ERROR] Line 37: mismatched input '(' expecting ':'
[ERROR] Line 37: mismatched input ')' expecting ':'
[ERROR] Line 41: required (...)+ loop did not match anything at input 'colaborativeGrasping'
[ERROR] Line 41: mismatched input '(' expecting ':'
[ERROR] Line 41: mismatched input ')' expecting ':'
[ERROR] Line 18: The same agent cannot be used in more than one sequence..
[ERROR] Line 18: Agent name must be one of the names specified in the pattern.
[ERROR] Line 18: Agent name must be one of the names specified in the pattern.
[ERROR] Line 18: The same agent cannot be used in more than one sequence..
[ERROR] Line 18: Agent name must be one of the names specified in the pattern.
[ERROR] Line 18: Agent name must be one of the names specified in the pattern.
[ERROR] Line 19: The same agent cannot be used in more than one sequence..
[ERROR] Line 19: Agent name must be one of the names specified in the pattern.
[ERROR] Line 19: Agent name must be one of the names specified in the pattern.
[ERROR] Line 19: The same agent cannot be used in more than one sequence..
[ERROR] Line 19: Agent name must be one of the names specified in the pattern.
[ERROR] Line 19: Agent name must be one of the names specified in the pattern.
[ERROR] Line 21: The same agent cannot be used in more than one sequence..
[ERROR] Line 23: The same agent cannot be used in more than one sequence..
[ERROR] Line 23: Agent name must be one of the names specified in the pattern.
[ERROR] Line 23: Agent name must be one of the names specified in the pattern.
[ERROR] Line 23: The same agent cannot be used in more than one sequence..
[ERROR] Line 23: Agent name must be one of the names specified in the pattern.
[ERROR] Line 23: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: The same agent cannot be used in more than one sequence..
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
[ERROR] Line 25: Agent name must be one of the names specified in the pattern.
